down,timedelta,up
16,-18528,71
16,-18162,84
16,-18035,89
16,-17717,16
16,-18209,76
32,-18319,32
68,-18240,66
32,-18591,66
75,-18463,89
66,-18455,70
71,-18495,68
69,-18088,74
78,-18488,72
67,-18272,66
74,-18792,67
8,-18721,72
72,-19017,74
71,-18977,65
32,-17936,32
69,-17808,66
76,-18000,72
74,-18184,71
85,-18216,32
32,-19360,219
51,-19209,90
52,-19410,74
57,-19624,188
49,-19775,32
32,-22784,68
68,-22089,32
16,-22105,90
32,-21849,67
191,-21848,75
219,-22457,70
70,-22192,88
78,-22255,66
89,-22439,75
74,-22312,78
72,-21466,16
65,-21631,74
32,-22295,32
86,-22231,191
74,-21344,16
82,-21456,48
67,-21408,188
89,-21335,16
66,-21528,57
70,-20799,16
72,-20863,71
82,-20751,82
69,-20640,68
16,-19232,32
32,-20001,68
86,-19744,32
189,-19984,75
51,-19993,66
32,-20606,71
66,-20537,69
32,-20249,78
16,-20348,67
16,-20081,74
86,-20322,8
74,-19985,72
82,-19984,71
67,-20098,32
76,-20761,69
70,-20728,76
72,-20857,74
8,-21067,85
75,-20104,32
85,-20073,51
89,-20088,52
66,-19840,57
75,-19520,49
70,-16503,32
78,-16359,68
67,-16503,16
16,-16336,32
32,-16352,191
191,-15597,219
16,-15903,70
86,-16208,78
74,-16489,89
89,-16429,74
76,-16528,72
70,-16607,65
71,-16145,32
70,-16192,86
80,-16030,74
16,-16063,82
189,-16136,67
74,-16296,89
72,-16304,66
84,-15878,70
68,-15959,72
84,-16024,82
67,-16034,69
16,-16215,16
32,-15488,32
70,-15328,86
89,-15808,189
32,-15800,51
75,-15144,32
70,-15199,66
68,-15143,32
84,-15286,16
74,-14527,86
68,-14440,74
16,-14720,82
32,-14767,67
191,-14184,76
84,-16505,70
79,-16327,72
66,-16776,8
75,-16465,75
66,-16401,85
88,-16233,89
69,-16255,66
32,-17208,75
84,-17217,70
74,-17391,78
89,-17455,67
78,-17649,16
74,-17470,32
219,-17615,16
84,-17863,191
